idx,Symbol,avg,Date,Open,High,Low,Close,date,time,hour,ampm,ts
1653,,8169.795,,,,,,Fri Jun 14 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
1654,,8182.82,,,,,,Fri Jun 14 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
1655,,8210.060000000001,,,,,,Fri Jun 14 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
1656,,8227.875,,,,,,Thu Jun 13 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1657,,8265.369999999999,,,,,,Thu Jun 13 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1658,,8268.470000000001,,,,,,Thu Jun 13 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1659,,8234.41,,,,,,Thu Jun 13 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1660,,8241.485,,,,,,Thu Jun 13 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1661,,8216.115,,,,,,Thu Jun 13 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1662,,8162.825,,,,,,Thu Jun 13 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1663,,8161.545,,,,,,Thu Jun 13 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1664,,8155.875,,,,,,Thu Jun 13 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
1665,,8126.950000000001,,,,,,Thu Jun 13 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
1666,,8095.835,,,,,,Thu Jun 13 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1667,,8081.92,,,,,,Fri Jun 14 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
1668,,8074.955,,,,,,Thu Jun 13 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
1669,,8071.915,,,,,,Thu Jun 13 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
1670,,8089.3,,,,,,Thu Jun 13 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
1671,,8098.12,,,,,,Thu Jun 13 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
1672,,8093.389999999999,,,,,,Thu Jun 13 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
1673,,8093.365,,,,,,Thu Jun 13 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
1674,,8101.23,,,,,,Thu Jun 13 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
1675,,8093.265,,,,,,Thu Jun 13 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
1676,,8070.305,,,,,,Thu Jun 13 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
1677,,8078.965,,,,,,Thu Jun 13 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
1678,,8112.165,,,,,,Thu Jun 13 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
1679,,8126.32,,,,,,Thu Jun 13 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
1680,,8119.72,,,,,,Wed Jun 12 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1681,,8112.51,,,,,,Wed Jun 12 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
1682,,8096.3,,,,,,Wed Jun 12 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
1683,,8098.97,,,,,,Wed Jun 12 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
1684,,8113.280000000001,,,,,,Wed Jun 12 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
1685,,8107.04,,,,,,Wed Jun 12 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
1686,,8112.98,,,,,,Wed Jun 12 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
1687,,8130.225,,,,,,Wed Jun 12 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
1688,,8058.205,,,,,,Wed Jun 12 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
1689,,7978.530000000001,,,,,,Wed Jun 12 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
1690,,7977.865,,,,,,Wed Jun 12 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
1691,,7971.155000000001,,,,,,Thu Jun 13 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
